"Gene_Name","logFC","PValue","FDR"
"RALY",-0.233344349008803,0.00018824953324403,0.000428882463049518
"NKX3-1",0.497104769765638,0.000188428828578018,0.00042921073415445
"USP47",0.26634358464819,0.000189075941176835,0.000430604296448122
"UBE4A",0.229192872251065,0.000189364470973687,0.000431180849017598
"GTF2H3",0.623892894251616,0.000189700145718809,0.000431864514744724
"BAZ2A",-1.29740065328851,0.000189955620911831,0.000432365379861114
"STRN",-0.297096378084835,0.000190100680705384,0.000432614784110387
"COX5A",-0.613490081202258,0.000190249281418398,0.000432872151879747
"PSMB5",0.254901356739835,0.000190340777649359,0.000432999518627232
"ADAMTSL4",-0.391212817781043,0.000190416404885848,0.000433090744769287
"SFT2D1",-0.293685136941752,0.000191079824766319,0.000434518586779742
"INTS9",-0.394919802352358,0.000192162872748328,0.000436899959282892
"TRRAP",-0.386470359160219,0.000192576042163793,0.000437757697187917
"HPS1",-0.346815644384568,0.000192639118171474,0.000437819442510895
"RBPMS2",0.350886098325688,0.000192690345169727,0.000437854240067874
"DUS3L",-0.374523138214728,0.000193142539654855,0.000438799981537893
"SLU7",-0.819343161921275,0.000193567481495328,0.000439683466910665
"HDGFL2",-0.716164781948759,0.00019379017970051,0.000440107317572452
"GPR89B",0.308624039687416,0.000194058056022758,0.000440633593029138
"VWA7",-0.693206819898082,0.000194294012417222,0.000441087207705466
"PEX11G",-0.215021079754469,0.000194856621516144,0.000442282083951465
"RELL1",-0.666799165611294,0.00019514258422215,0.000442848705184704
"WNT7B",0.366698343789083,0.000195262577188822,0.000442972454961815
"BAHD1",0.779068324018996,0.000195269786971109,0.000442972454961815
"CACHD1",-1.27542428316381,0.000195334381864379,0.000443036548708585
"IMPA2",0.246043454720488,0.000195452094784288,0.000443221072826498
"ANKMY1",-0.399884702564846,0.000195769101959688,0.000443779776051049
"SYT7",-0.470145092191176,0.00019577127681097,0.000443779776051049
"GOLGA5",-0.540115398955562,0.000196011664253622,0.000444242089406193
"IER2",-0.768951568425404,0.000196306653029692,0.000444827956707244
"CHN1",-0.457537235100761,0.000196396106492579,0.000444947952843529
"PMAIP1",0.326138334269861,0.000197432615125605,0.000447213119843228
"EME1",-0.368544038301098,0.000198504033378965,0.000449556505837443
"CITED1",-0.713262326298078,0.000199459382355079,0.000451636205477484
"SLC30A3",1.65989520793244,0.000199752313731459,0.000452215497994469
"TMEM165",0.247711343909882,0.00020021100886147,0.00045316977516342
"TYSND1",-0.597562208870044,0.000201050933082039,0.000454986434973667
"JUP",0.436999475900484,0.000201183602222995,0.000455202170508636
"GXYLT2",-0.501714774760937,0.000201833148439941,0.000456587105702603
"MRPL35",0.721230983230924,0.000202537714679088,0.000458095970250976
"GNG4",0.383849239995429,0.000203107464005484,0.000459299405247794
"LTB4R",0.314111585199823,0.000203463293851098,0.000460018734298727
"CREBBP",0.278411447287556,0.000204645129677496,0.000462576708248858
"QTRT2",0.371487538359505,0.00020467055732051,0.000462576708248858
"NCS1",0.282867988558756,0.000205018376519383,0.000463276928294308
"UCHL5",0.62078304808242,0.000205127941081705,0.000463438608177737
"ZBED4",0.691493738857036,0.000206851659907136,0.000467246356480988
"DYRK4",-0.264569836679285,0.000207102380127064,0.000467726031146542
"NOMO1",-0.288365603537095,0.000207235803784234,0.000467940671223115
"SNAP23",0.332467277037467,0.000207508795664431,0.000468469819979656
"UBXN1",0.284853705592593,0.000207554312182841,0.000468469819979656
"CEP83",-0.322962420279261,0.000207585429212542,0.000468469819979656
"VKORC1L1",-1.33872444642198,0.000208080292010754,0.000469499692745347
"RGCC",-0.300629764280207,0.000208769088923247,0.000470966684504683
"NTAN1",0.514495747564345,0.000209550797334134,0.000472642695707757
"HNRNPC",-0.29252633518721,0.000209844217510165,0.000473216954433301
"PFN1",0.355139072909394,0.000209885860595093,0.00047322332652391
"TIMM17A",-0.94491077735412,0.000211083259959758,0.000475835063270971
